Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Põlva maakond,2014,4,eluhoone,601 Kindlaks tegemata põhjus,12
Ida-Viru maakond,2014,1,eluhoone,403 Rike elektripaigaldises,12
Ida-Viru maakond,2014,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),12
Ida-Viru maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,12
Ida-Viru maakond,2014,1,eluhoone,402 Rike elektriseadmes,12
Harju maakond,2014,3,mitteeluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2014,1,eluhoone,601 Kindlaks tegemata põhjus,12
Harju maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,12
Võru maakond,2015,1,eluhoone,101 Lahtise tule kasutamisel,1
Tartu maakond,2015,1,mitteeluhoone,601 Kindlaks tegemata põhjus,1
Pärnu maakond,2015,1,eluhoone,403 Rike elektripaigaldises,1
Põlva maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,1
Lääne-Viru maakond,2015,3,eluhoone,101 Lahtise tule kasutamisel,1
Lääne-Viru maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,1
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,1
Ida-Viru maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,2
Harju maakond,2015,1,eluhoone,102 Suitsetamisel,2
Tartu maakond,2015,1,-Puudub-,teadmata,3
Jõgeva maakond,2015,2,eluhoone,601 Kindlaks tegemata põhjus,3
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2015,1,eluhoone,101 Lahtise tule kasutamisel,3
Harju maakond,2015,1,eluhoone,102 Suitsetamisel,3
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,4
Harju maakond,2015,1,eluhoone,402 Rike elektriseadmes,4
Tartu maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,5
Saare maakond,2015,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2015,1,eluhoone,402 Rike elektriseadmes,5
Harju maakond,2015,1,eluhoone,101 Lahtise tule kasutamisel,5
Viljandi maakond,2015,1,eluhoone,403 Rike elektripaigaldises,6
Tartu maakond,2015,1,eluhoone,102 Suitsetamisel,6
Põlva maakond,2015,1,eluhoone,102 Suitsetamisel,6
Harju maakond,2015,3,eluhoone,102 Suitsetamisel,6
Valga maakond,2015,2,eluhoone,403 Rike elektripaigaldises,7
Lääne-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,7
Valga maakond,2015,1,eluhoone,102 Suitsetamisel,8
Põlva maakond,2015,1,eluhoone,102 Suitsetamisel,9
Tartu maakond,2015,1,-Puudub-,104 Elektriseadmete kasutamisel,10
Pärnu maakond,2015,2,eluhoone,101 Lahtise tule kasutamisel,10
Pärnu maakond,2015,1,eluhoone,102 Suitsetamisel,10
Lääne-Viru maakond,2015,1,eluhoone,101 Lahtise tule kasutamisel,10
Ida-Viru maakond,2015,1,eluhoone,104 Elektriseadmete kasutamisel,10
Harju maakond,2015,1,eluhoone,105 Kütteseadmete kasutamisel,10
Harju maakond,2015,1,eluhoone,102 Suitsetamisel,10
Tartu maakond,2015,1,eluhoone,404 Rike kütteseadmes,11
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,11
Võru maakond,2015,1,eluhoone,102 Suitsetamisel,12
Valga maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,12
Järva maakond,2015,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2015,1,eluhoone,402 Rike elektriseadmes,12
Harju maakond,2015,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Võru maakond,2016,1,eluhoone,102 Suitsetamisel,1
Viljandi maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,1
